module_id,reactions
M00982,"R00931  C00036 + C00100 -> C02225 R04424  C02225 -> C04225 R11263  C02225 -> C21250 R11264  C21250 -> C04225 R04425  C04225 -> C04593 R00409  C04593 -> C00042 R02164  C00042 -> C00122 R01082  C00122 -> C00149 R00342,R00361  C00149 -> C00036"
M00168,R00345  C00074 + C00011 -> C00036 R00342  C00036 -> C00149
M00171,R00345  C00074 -> C00036 R00355  C00036 -> C00049 R00355  C00049 -> C00036 R00342  C00036 -> C00149 R00214  C00149 -> C00022+C00011 R00258  C00022 -> C00041 R00258  C00041 -> C00022 R00206  C00022 -> C00074
M00149,R02164  C00042 + C15602 -> C00122 + C15603
M00150,R02164  C00042 + C15602 -> C00122 + C15603
M00152,R02161  C00390 + 2 C00125 -> C00399 + 2 C00126 + 2 C00080
M00154,R00081  C00007 + 4 C00126 + 4 C00080 -> 4 C00125 + 2 C00001
M00155,R00081  C00007 + 4 C00126 + 4 C00080 -> 4 C00125 + 2 C00001
M00156,R00081  C00007 + 4 C00126 + 4 C00080 -> 4 C00125 + 2 C00001
M00157,R00086  C00008 + C00009 -> C00002 + C00001
M00158,R00086  C00008 + C00009 -> C00002 + C00001
M00159,R00086  C00008 + C00009 -> C00002 + C00001
M00160,R00086  C00008 + C00009 -> C00002 + C00001
M00169,R00216  C00149 -> C00022 + C00011 R00206  C00022 -> C00074
M00172,R00345  C00074 -> C00036 R00343  C00036 -> C00149 R00216  C00149 -> C00022 + C00011 R00206  C00022 -> C00074
M00050,"R01130  C00130 -> C00655 R01230,R01231  C00655 -> C00144 R00332  C00144 -> C00035 R00330  C00035 -> C00044"
M00049,"R01135  C00130 -> C03794 R01083  C03794 -> C00020 R00127,R00333  C00020 -> C00008 R00331  C00008 -> C00002"
M00170,R00345  C00074 -> C00036 R00355  C00036 -> C00049 R00355  C00049 -> C00036 R00341  C00036 -> C00074+C00011
M00086,R01280  C00249 -> C00154
M00087,R01279  C00154 -> C05272 R04738  C05272 -> C05258 R04737  C05258 -> C05259 R03991  C05259 -> C02593 + C00024  R03990  C02593 -> C05273 R04740  C05273 -> C05260 R04739  C05260 -> C05261 R03858  C05261 -> C01832 + C00024  R03857  C01832 -> C03221 R04170  C03221 -> C05262 R04741  C05262 -> C05263 R04742  C05263 -> C05274 + C00024  R04754  C05274 -> C05275 R04744  C05275 -> C05264 R04743  C05264 -> C05265 R03778  C05265 -> C01944 + C00024  R03777  C01944 -> C05276 R04746  C05276 -> C05266 R04745  C05266 -> C05267 R04747  C05267 -> C05270 + C00024  R04751  C05270 -> C05271 R04749  C05271 -> C05268 R04748  C05268 -> C05269 R01177  C05269 -> C00136 + C00024  R01175  C00136 -> C00877 R03026  C00877 -> C01144 R01975  C01144 -> C00332 R00238  C00332 -> C00024
M00085,R00391  C00040 + C00024 -> C00264 R01778  C00264 -> C00640 R02685  C00640 -> C00658 R07162  C00658 -> C00040  R01177  C00136 + C00024 -> C05269 R04748  C05269 -> C05268 R04749  C05268 -> C05271 R06985  C05271 -> C05270  R04747  C05270 + C00024 -> C05267 R04745  C05267 -> C05266 R04746  C05266 -> C05276 R03776  C05276 -> C01944  R03778  C01944 + C00024 -> C05265 R04743  C05265 -> C05264 R04744  C05264 -> C05275 R04753  C05275 -> C05274  R04742  C05274 + C00024 -> C05263 R04741  C05263 -> C05262 R04170  C05262 -> C03221 R03856  C03221 -> C01832  R03858  C01832 + C00024 -> C05261 R04739  C05261 -> C05260 R04740  C05260 -> C05273 R03989  C05273 -> C02593  R03991  C02593 + C00024 -> C05259 R04737  C05259 -> C05258 R04738  C05258 -> C05272 R01278  C05272 -> C00154
M00032,"R00716  C00047 -> C00449 R02313  C00449 -> C04076 R03102,R03103  C04076 -> C00956 R01939  C00956 -> C00322 R01933  C00322 -> C00527 R01940,R13166+R13167  C00322 + C15972 -> C06157 R02571  C06157 -> C00527 R07618  C15973 -> C15972 R02488  C00527 -> C00877 R03026  C00877 -> C01144 R01975  C01144 -> C00332"
M00375,R00742  C00024 -> C00083 R00740  C00083 -> C00222 R09289  C00222 -> C01013 R09286  C01013 -> C05668 R03045  C05668 -> C00894 R00919  C00894 -> C00100 R01859  C00100 -> C00683 R02765  C00683 -> C01213 R00833  C01213 -> C00091 R09280  C00091 -> C00232 R09281  C00232 -> C00989 R09279  C00989 -> C11062 R10782  C11062 -> C00877 R03026  C00877 -> C01144 R01975  C01144 -> C00332 R00238  C00332 -> C00024
M00957,R00449  C00047 -> C00990 R02273  C00990 -> C00431 R02274  C00431 -> C03273 R02401  C03273 -> C00489 R12216  C00489 + C00026 -> C03196 + C00042 R12217  C03196 -> C00026 R13035  C00489 -> C00527 R02488  C00527 -> C00877 R03026  C00877 -> C01144 R01975  C01144 -> C00332 R00238  C00332 -> C00024
M00088,R00238  C00024 -> C00332 R01978  C00332 + C00024 -> C00356 R01360  C00356 -> C00164 + C00024 R01361  C00164 -> C01089 R01366  C00164 -> C00207
M00095,R00238  C00024 -> C00332 R01978  C00332 + C00024 -> C00356 R02082  C00356 -> C00418 R02245  C00418 -> C01107 R03245  C01107 -> C01143 R01121  C01143 -> C00129 R01123  C00129 -> C00235
M00373,R00238  C00024 -> C00332 R01977  C00332 -> C03561 R03027  C03561 -> C00877 R09291  C00877 -> C18026 R09979  C18026 -> C20238 R09292  C20238 -> C18324 R09293  C18324 -> C06028 R05076  C06028 -> C06027 R00934  C06027 -> C00100 + C00048 R00473  C00048 -> C04348 R10612  C04348 -> C00149 R01859  C00100 -> C00683 R02765  C00683 -> C01213 R00833  C01213 -> C00091
M00849,"R00238  C00024 -> C00332 R01978  C00332 + C00024 -> C00356 R02082,R02081  C00356 -> C00418 R02245  C00418 -> C01107 R10561  C01107 -> C20345 R12894  C01107 -> C22453 R12895  C22453 -> C20345 R10779  C00418 -> C20847 R10780  C20847 -> C20848 R10781  C20848 -> C20345 R10093  C20345 -> C00129 R01123  C00129 -> C00235"
M00082,R00742  C00024 -> C00083 R01626  C00083 -> C01209 R01624  C00024 -> C03939 R04355  C03939 + C01209 -> C05744 R10707  C00024 + C01209 -> C05744
M00885,R00742  C00024 -> C00083 R01626  C00083 + C00229 -> C01209 R13257  C02843 + C01209 -> C22858  R13258  C20683 + C01209 -> C22858 R13259  C22858 -> C22859 R13260  C22859 -> C22860 R13261  C22860 -> C20683  R13262  C22861 + C01209 -> C22862 R13263  C22862 -> C22863 R13264  C22863 -> C22864 R13265  C22864 -> C22861  R13266  C22865 + C01209 -> C22866 R13267  C22866 -> C22867 R13268  C22867 -> C22868 R13269  C22868 -> C22865
M00886,R00742  C00024 -> C00083 R01626  C00083 + C00229 -> C01209 R13257  C02843 + C01209 -> C22858  R13258  C20683 + C01209 -> C22858 R13259  C22858 -> C22859 R13260  C22859 -> C22860 R13261  C22860 -> C20683  R13262  C22861 + C01209 -> C22862 R13263  C22862 -> C22863 R13264  C22863 -> C22864 R13265  C22864 -> C22861  R13266  C22865 + C01209 -> C22866 R13267  C22866 -> C22867 R13268  C22867 -> C22868 R13269  C22868 -> C22865  R13270  C22869 + C01209 -> C22870 R13271  C22870 -> C22871 R13272  C22871 -> C22872 R13273  C22872 -> C22869
M00083,"R04355  C03939 + C01209 -> C05744 R04533  C05744 -> C04618 R04428  C04618 -> C04246 R04429,R04430  C04246 -> C05745  R04952  C05745 + C01209 -> C05746 R04953  C05746 -> C05747 R04954  C05747 -> C05748 R04955,R04956  C05748 -> C05749  R04957  C05749 + C01209 -> C05750 R04536  C05750 -> C04620 R04537  C04620 -> C05751 R04958,R04959  C05751 -> C05752  R04960  C05752 + C01209 -> C05753 R04534  C05753 -> C04619 R04535  C04619 -> C05754 R04961,R04962  C05754 -> C05755  R04963  C05755 + C01209 -> C05756 R04964  C05756 -> C05757 R04965  C05757 -> C05758 R04724,R04725  C05758 -> C05223  R04726  C05223 + C01209 -> C05759 R04566  C05759 -> C04688 R04568  C04688 -> C05760 R04966,R04967  C05760 -> C05761  R04968  C05761 + C01209 -> C05762 R04543  C05762 -> C04633 R04544  C04633 -> C05763 R04969,R04970  C05763 -> C05764"
M00036,R01090  C00123 -> C00233 R07601+R07602  C00233 + C15972 -> C15975 R04097  C15975 -> C02939 + C15973 R07618  C15973 -> C15972 R04095  C02939 -> C03069 R04138  C03069 -> C03231 R02085  C03231 -> C00356 R01360  C00356 -> C00164
M00019,R00226  C00022 -> C06010 R05071  C06010 -> C04181 R04440  C04181 -> C04272 R04439  C06010 -> C04272 R04441  C04272 -> C00141 R01214  C00141 -> C00183 R08648  C00109 -> C06006 R05069  C06006 -> C14463 R05068  C14463 -> C06007 R05070  C06007 -> C00671 R02199  C00671 -> C00407
M00570,R00996 C00188 -> C00109 R08648  C00109 -> C06006 R05069  C06006 -> C14463 R05068  C14463 -> C06007 R05070  C06007 -> C00671 R02199  C00671 -> C00407
M00119,R01214  C00183 -> C00141 R01226  C00141 -> C00966 R02472  C00966 -> C00522 R00489  C00049 -> C00099 R02473  C00522 + C00099 -> C00864
M00741,R01859  C00100 -> C00683 R02765  C00683 -> C01213 R00833  C01213 -> C00091
M00034,"R00177  C00073 -> C00019 R00178  C00019 -> C01137 R01920  C01137 -> C00170 R01401  C00170 -> C03089 R04143  C03089 -> C04188 R01402  C00170 -> C04188 R04420  C04188 -> C04582 R07392  C04582 -> C15650 R07393  C15650 -> C15651 R07394  C15651 -> C15606 R07395  C15650 -> C15606 R07364  C15606 -> C01180 R07396,R12507  C01180 -> C00073"
M00035,"R00177  C00073 -> C00019 R00367,R04858  C00019 -> C00021 R00192  C00021 -> C00155 R01290  C00065 + C00155 -> C02291"
M00368,R00177  C00073 -> C00019 R00179  C00019 -> C01234 R07214  C01234 -> C06547
M00609,R00177  C00073 -> C00019 R10404  C00019 -> C00021 R00194  C00021 -> C03539 R01291  C03539 -> C00155 R10305  C00155 -> C02291 R01001  C02291 -> C00097
M00953,"R00177  C00073 -> C00019 R00075  C00019 -> C05324 R07277  C05324 -> C15486 R07141,R07142  C15486 -> C15485 R07185  C15485 -> C15500 R07186  C15500 -> C15501 R07187  C15485 -> C15502 R12826  C15502 -> C15501"
M00338,R01290  C00065 + C00155 -> C02291 R01001  C02291 -> C00097
M00038,R00678  C00078 -> C02700 R01959  C02700 -> C00328 R01960  C00328 -> C03227 R02668  C03227 -> C00632 R02665  C00632 -> C04409 R04323  C04409 -> C03824 R03889  C03824 -> C02220
M00912,"R00678  C00078 -> C02700 R01959  C02700 -> C00328 R01960  C00328 -> C03227 R02668  C03227 -> C00632 R02665  C00632 -> C04409 R04293  C04409 -> C03722 R03348  C03722 -> C01185 R03005  C01185 -> C00857 R00189,R00257  C00857 -> C00003"
M00030,R00271  C00026 + C00024 -> C01251 R03444  C01251 -> C04002 R04371  C04002 -> C05662 R01934  C05662 -> C00322 R01939  C00322 -> C00956 R03098  C00956 -> C05560 R04863  C05560 -> C05535 R04390  C05535 -> C04076 R02315  C04076 -> C00449 R00715  C00449 -> C00047
M00960,R00460  C00047 -> C00739 R13034  C00739 -> C03239 R04175  C03239 -> C04092 R02203  C04092 -> C00408 R08414  C00408 -> C00450 R02317  C00450 -> C04076 R13037  C04076 -> C00956 R01939  C00956 -> C00322 R13011  C00322 -> C01087 R13036  C01087 -> C00026 R12216  C00026 -> C00042
M00970,"R01253  C00148 -> C03912 R03314  C03912 -> C01165 R00245,R13148  C01165 -> C00025"
M00972,"R00667  C00077 -> C01165 R03314  C01165 -> C03912 R01248,R01251  C03912 -> C00148 R01253  C00148 -> C03912"
M00015,R00239  C00025 -> C03287 R03313  C03287 -> C01165 R03314  C01165 -> C03912 R01251  C03912 -> C00148
M00134,"R00551,R13308  C00062 -> C00077 R00670  C00077 -> C00134"
M00133,R00566  C00062 -> C00179 R01157  C00179 -> C00134 R00178  C00019 -> C01137 R01920  C01137 + C00134 -> C00315
M00135,"R01154,R01156  C00134 -> C02714 R04025  C02714 -> C05936 R05050  C05936 -> C02946 R01987  C02946 -> C00334"
M00027,"R00261  C00025 -> C00334 R01648,R10178  C00334 -> C00232 R00713,R00714  C00232 -> C00042"
M00978,R00253  C00014 -> C00064 R00575  C00064 -> C00169 R01398  C00169 -> C00327 R01954  C00327 -> C03406 R01086  C03406 -> C00062 R13308  C00062 -> C00011 + C00014
M00020,R01513  C00197 -> C03232 R04173  C03232 -> C01005 R00582  C01005 -> C00065
M00140,R00945  C00101 -> C00143 R01220  C00143 -> C00445 R01655  C00445 -> C00234 R00943  C00234 -> C00101
M00141,"R00945  C00101 -> C00143 R01220,R01218  C00143 -> C00445 R01655  C00445 -> C00234 R00943  C00234 -> C00101"
M00532,"R03140  C01182 -> C00988 + C00197 R01334  C00988 -> C00160 R00475  C00160 + C00007 -> C00048 + C00027 R00009  C00027 -> C00007 R00372  C00048 + C00025 -> C00026 + C00037 R00369  C00048 -> C00037 R00945  C00037 -> C00065 R00588  C00065 + C00048 -> C00168 + C00037 R01388,R01392  C00168 -> C00258 R01514  C00258 -> C00197 R01221  C00037 -> C00014"
M00975,"R13016  C00719 -> C01026 R01564,R01565,R13028  C01026 -> C00213 R00610,R12967,R13029  C00213 -> C00037 R00945  C00037 -> C00065 R00220  C00065 -> C00022"
M00126,"R00428  C00044 -> C05922 R05046  C05922 -> C05923 R05048  C05923 -> C06148 R04639  C06148 -> C04895 R04620  C04895 -> C04874 R04638  C04895 -> C05925 R04621  C05925 -> C04874 R03504  C04874 -> C01300 R03503  C01300 -> C04807 R03066  C01300 -> C00921 R03067  C04807 -> C00921 R02237  C00921 -> C00415 R00936,R00939  C00415 -> C00101"
M00840,"R00425  C00044 -> C01304 R11072  C01304 -> C05925 R04621  C05925 -> C04874 R03504  C04874 -> C01300 R03503  C01300 -> C04807 R03066  C01300 -> C00921 R03067  C04807 -> C00921 R02237  C00921 -> C00415 R00936,R00939  C00415 -> C00101"
M00841,"R00428  C00044 -> C05922 R05046  C05922 -> C05923 R05048  C05923 -> C06148 R04639  C06148 -> C04895 R11719  C04895 -> C01300 R03503  C01300 -> C04807 R03067  C04807 -> C00921 R03066  C01300 -> C00921 R02237  C00921 -> C00415 R00936,R00939  C00415 -> C00101"
M00377,"R07157  C00011 -> C00237 R00134,R12754  C00011 -> C00058 R00943  C00058 + C00101 -> C00234 R01655  C00234 -> C00445 R01220  C00445 -> C00143 R07168  C00143 -> C00440 R02289+R08433,R10243  C00237 + C00440 -> C00101 + C00024"
M00621,R03425  C00037 + C02051 -> C01242 + C00011 R04125  C01242 + C00101 -> C02972 + C00143 + C00014 R03815  C02972 -> C02051  R01221  C00037 + C00101 -> C00014 + C00143
M00029,R00149  C00014 -> C00169 R01398  C00169 + C00077 -> C00327 R01954  C00327 + C00049 -> C03406 R01086  C03406 -> C00062 + C00122 R00551  C00062 -> C00077 + C00086
M00844,R01398  C00169 + C00077 -> C00327 R01954  C00327 + C00049 -> C03406 R01086  C03406 -> C00062 + C00122
M00118,R00894  C00025 -> C00669 R00497  C00669 -> C00051
M00025,"R01715  C00251 -> C00254 R01728,R01730  C00254 -> C01179 R00734  C01179 -> C00082"
M00044,"R00734,R00729  C00082 -> C01179 R02521  C01179 -> C00544 R02519  C00544 -> C01036 R03181  C01036 -> C01061 R01364  C01061 -> C00164 + C00122"
