,model_id,kegg.reaction
481,MAR08784,R04065
482,MAR08786,R04065
483,MAR04288,R00716
484,MAR04596,R01939
485,MAR04597,R01939
486,MAR04599,R13167
487,MAR04667,R02313
488,MAR04668,R02315
489,MAR04737,R03102
490,MAR04739,R03102
491,MAR04740,R02317
492,MAR06415,R02571
493,MAR06975,R03875
494,MAR06976,R04866
495,MAR06977,R04867
496,MAR06978,R04313
497,MAR06979,R03451
498,MAR06981,R03283
499,MAR06982,R02397
500,MAR06983,R03376
501,MAR06984,R03380
502,MAR06985,R04491
503,MAR03164,R03026
504,MAR03166,R01975
505,MAR03885,R00238
506,MAR04250,R04293
507,MAR08092,R04907
508,MAR08563,R02678
509,MAR03935,R06982
510,MAR04681,R00699
511,MAR04682,R02613
512,MAR04683,R02536
513,MAR04685,R02536
514,MAR04686,R02537
515,MAR04687,R02537
516,MAR04702,R02518
517,MAR04703,R02655
518,MAR04704,R02657
519,MAR06988,R02810
520,MAR07701,R07172
521,MAR08529,R06154
522,MAR08537,R07212
523,MAR08541,R00031
524,MAR08542,R00045
525,MAR03206,R00927
526,MAR03208,R01859
527,MAR03213,R02765
528,MAR03215,R00833
529,MAR03747,R01214
530,MAR03744,R01214
531,MAR03757,R02047
532,MAR03761,R03381
533,MAR03777,R01090
534,MAR03778,R01090
535,MAR03795,R00922
536,MAR04797,R03869
537,MAR06417,R02662
538,MAR06419,R04225
539,MAR06420,R03174
540,MAR06421,R07602
541,MAR06422,R04097
542,MAR06422,R01651
543,MAR06923,R01090
544,MAR03765,R01090
545,MAR08088,R04188
546,MAR08787,R00923
547,MAR04214,R00678
548,MAR04216,R01958
549,MAR04218,R03936
550,MAR04219,R00988
551,MAR04220,R01960
552,MAR04224,R00987
553,MAR04225,R02668
554,MAR04227,R02670
555,MAR04231,R04323
556,MAR04233,R03889
557,MAR04235,R01938
558,MAR04243,R02487
559,MAR04244,R04171
560,MAR04245,R03954
561,MAR06707,R00685
562,MAR06711,R02174
563,MAR06713,R02173
564,MAR06714,R02678
565,MAR06715,R10452
566,MAR06716,R02702
567,MAR06717,R04911
568,MAR06718,R04909
569,MAR06719,R04908
570,MAR06725,R00694
571,MAR06726,R01372
572,MAR06727,R01378
573,MAR06728,R01815
574,MAR06729,R00731
575,MAR06731,R02080
576,MAR06741,R02535
577,MAR06743,R02533
578,MAR06745,R02919
579,MAR06746,R02920
580,MAR06747,R04894
581,MAR06748,R04891
582,MAR06749,R04892
583,MAR06750,R02534
584,MAR06751,R04893
585,MAR06752,R02532
586,MAR06753,R04882
587,MAR06754,R04883
588,MAR06755,R04887
589,MAR06756,R04880
590,MAR06757,R04881
591,MAR06758,R04300
592,MAR06759,R04084
593,MAR06760,R03300
594,MAR06761,R03302
595,MAR06762,R03304
596,MAR06763,R04301
597,MAR06764,R04890
598,MAR06766,R04888
599,MAR06767,R04889
600,MAR06768,R00734
601,MAR06770,R00729
602,MAR06771,R03342
603,MAR06772,R02521
604,MAR06774,R02519
605,MAR06776,R03181
606,MAR06778,R01364
607,MAR06782,R03336
608,MAR06783,R08766
609,MAR06784,R01616
610,MAR06785,R08767
611,MAR06786,R01301
612,MAR06787,R00736
613,MAR06788,R02384
614,MAR06789,R02382
615,MAR06790,R02695
616,MAR06791,R02697
617,MAR06802,R03943
618,MAR06854,R03734
619,MAR06874,R02078
620,MAR06875,R02962
621,MAR06876,R03672
622,MAR06877,R08848
623,MAR06888,R03673
624,MAR07628,R00690
625,MAR07756,R02540
626,MAR08539,R07211
627,MAR08794,R02539
628,MAR08795,R02576
629,MAR08796,R05841
630,MAR03875,R00177
631,MAR03877,R00192
632,MAR03879,R01290
633,MAR03881,R01001
634,MAR03912,R00895
635,MAR03917,R00946
636,MAR03928,R03105
637,MAR03995,R00116
638,MAR03996,R00892
639,MAR04072,R00380
640,MAR04189,R00533
641,MAR04302,R00782
642,MAR04323,R00891
643,MAR05381,R02021
644,MAR05385,R04420
645,MAR05386,R07392
646,MAR05387,R07395
647,MAR05388,R07363
648,MAR05389,R07364
649,MAR05390,R00648
650,MAR05391,R07396
651,MAR06515,R03105
652,MAR06518,R03106
653,MAR06519,R03104
654,MAR06520,R01931
655,MAR08066,R02433
656,MAR08067,R02433
657,MAR08068,R05693
658,MAR08069,R05693
659,MAR08683,R02408
660,MAR08684,R00895
661,MAR03868,R00094
662,MAR03869,R00094
663,MAR03889,R00251
664,MAR03933,R06983
665,MAR03937,R00527
666,MAR04116,R00274
667,MAR04120,R00274
668,MAR04121,R00274
669,MAR04175,R00494
670,MAR04176,R00494
671,MAR04324,R00894
672,MAR04326,R00497
673,MAR04328,R00899
674,MAR04329,R00899
675,MAR04708,R02743
676,MAR04078,R09076
677,MAR04174,R00489
678,MAR04330,R00908
679,MAR04347,R00905
680,MAR04425,R01164
681,MAR04427,R01166
682,MAR04688,R02549
683,MAR04689,R02549
684,MAR04735,R03045
685,MAR07991,R01914
686,MAR07128,R04929
687,MAR07129,R04928
688,MAR07130,R04940
689,MAR07131,R03596
690,MAR07132,R03595
691,MAR07133,R03599
692,MAR07134,R04930
693,MAR07135,R04942
694,MAR07136,R04936
695,MAR07137,R04770
696,MAR07139,R04771
697,MAR07140,R04931
698,MAR07141,R09366
699,MAR07620,R04773
700,MAR03753,R04224
701,MAR03755,R03352
702,MAR03759,R03869
703,MAR03763,R02764
704,MAR03773,R04138
705,MAR03775,R02085
706,MAR03785,R04204
707,MAR03790,R03871
708,MAR03792,R02048
709,MAR03796,R00926
710,MAR03823,R04203
711,MAR06416,R07600
712,MAR04158,R00415
713,MAR04159,R00418
714,MAR04299,R00765
715,MAR04300,R00768
716,MAR04494,R01961
717,MAR04524,R01201
718,MAR04526,R00414
719,MAR04527,R01207
720,MAR04528,R02705
721,MAR04529,R04435
722,MAR04530,R01805
723,MAR04531,R01803
724,MAR04532,R04215
725,MAR04533,R01115
726,MAR04534,R01116
727,MAR04628,R02058
728,MAR04629,R02059
729,MAR04631,R02086
730,MAR07696,R02328
731,MAR07697,R06513
732,MAR07698,R02984
733,MAR08368,R10183
734,MAR08373,R01811
735,MAR08375,R00022
736,MAR08376,R00022
737,MAR08377,R01117
738,MAR08674,R06514
739,MAR08675,R02777
740,MAR05130,R02918
741,MAR05131,R03038
742,MAR05132,R03646
743,MAR05133,R03648
744,MAR05134,R05577
745,MAR05135,R03650
746,MAR05136,R03652
747,MAR05137,R05578
748,MAR05138,R03654
749,MAR05139,R03655
750,MAR05140,R03656
751,MAR05141,R03657
752,MAR05142,R03658
753,MAR05143,R03659
754,MAR05144,R03940
755,MAR05145,R03660
756,MAR05146,R03661
757,MAR05147,R03662
758,MAR05148,R03663
759,MAR05149,R03664
760,MAR05150,R03665
761,MAR07254,R05556
762,MAR07256,R01004
763,MAR07263,R01018
764,MAR07264,R05969
765,MAR07265,R05970
766,MAR07266,R05972
767,MAR07267,R05002
768,MAR07268,R06238
769,MAR07269,R06127
770,MAR07270,R06128
771,MAR07271,R01009
772,MAR07619,R02586
773,MAR07622,R02621
774,MAR07624,R07626
775,MAR07626,R01886
776,MAR05407,R00132
777,MAR03851,R04861
778,MAR03861,R02619
779,MAR03866,R04861
780,MAR04084,R00188
781,MAR04187,R00508
782,MAR04701,R07243
783,MAR04840,R00864
784,MAR08662,R02405
785,MAR08663,R02404
786,MAR08664,R02491
787,MAR08666,R00237
788,MAR00710,R00267
789,MAR03787,R00410
790,MAR03957,R00709
791,MAR03958,R00267
792,MAR04139,R00342
793,MAR04141,R00342
794,MAR04145,R00351
795,MAR04147,R00432
796,MAR04149,R00352
797,MAR04152,R00405
798,MAR04209,R00621
799,MAR04408,R01082
800,MAR04410,R01082
801,MAR04454,R01324
802,MAR04458,R01325
803,MAR04465,R01392
804,MAR04589,R01900
805,MAR04652,R00408
806,MAR04652,R02164
807,MAR06413,R03316
808,MAR06414,R02570
809,MAR08773,R01785
810,MAR08774,R01393
811,MAR08775,R01333
812,MAR08777,R01393
813,MAR08778,R01333
814,MAR08779,R00465
815,MAR08781,R08572
816,MAR08782,R01388
817,MAR03977,R00004
818,MAR06912,R00004
819,MAR03960,R00275
820,MAR03980,R00009
821,MAR03982,R00009
822,MAR08409,R00275
823,MAR08410,R00275
824,MAR00156,R01176
825,MAR00217,R01280
826,MAR00409,R01598
827,MAR02152,R04355
828,MAR02153,R04533
829,MAR02154,R04428
830,MAR02155,R04430
831,MAR02156,R04952
832,MAR02157,R04953
833,MAR02158,R04954
834,MAR02159,R04956
835,MAR02160,R04957
836,MAR02161,R04536
837,MAR02162,R04537
838,MAR02163,R04959
839,MAR02164,R04960
840,MAR02165,R04534
841,MAR02166,R04535
842,MAR02167,R04962
843,MAR02168,R04963
844,MAR02169,R04964
845,MAR02170,R04965
846,MAR02171,R04725
847,MAR02173,R04726
848,MAR02174,R04566
849,MAR02175,R04568
850,MAR02176,R04967
851,MAR02178,R04968
852,MAR02179,R04543
853,MAR02180,R04544
854,MAR02181,R04970
855,MAR04295,R00742
856,MAR02190,R07758
857,MAR02191,R07759
858,MAR02193,R07760
859,MAR02194,R07761
860,MAR02150,R01624
861,MAR02151,R01626
862,MAR02172,R04014
863,MAR02177,R08159
864,MAR02182,R01706
865,MAR02437,R07057
866,MAR02439,R05718
867,MAR02440,R03626
868,MAR02455,R07055
869,MAR02457,R07056
870,MAR02459,R07122
871,MAR06402,R07766
872,MAR06402,R07769
873,MAR06403,R07767
874,MAR06403,R07768
875,MAR06404,R08550
876,MAR02368,R03814
877,MAR00934,R07041
878,MAR00937,R07054
879,MAR00940,R07046
880,MAR00942,R07052
881,MAR00945,R07111
882,MAR00946,R07051
883,MAR00949,R07110
884,MAR00950,R07050
885,MAR00953,R07109
886,MAR00954,R07048
887,MAR00957,R07108
888,MAR00958,R01595
889,MAR00959,R03058
890,MAR00960,R07034
891,MAR00963,R07034
892,MAR00983,R01593
893,MAR00988,R07035
894,MAR00989,R04518
895,MAR00990,R04517
896,MAR00991,R07042
897,MAR00992,R07044
898,MAR00993,R07043
899,MAR00994,R07045
900,MAR01010,R07043
901,MAR01020,R07032
902,MAR01025,R07031
903,MAR01029,R01596
904,MAR01030,R01596
905,MAR01041,R07040
906,MAR01042,R07037
907,MAR01043,R07039
908,MAR01045,R07039
909,MAR01062,R07053
910,MAR01064,R07047
911,MAR01080,R03057
912,MAR01081,R03059
913,MAR01085,R05055
914,MAR01100,R03863
915,MAR01101,R03863
916,MAR01102,R03864
917,MAR01126,R03866
918,MAR01127,R03866
919,MAR01137,R03866
920,MAR04796,R09875
921,MAR08545,R07038
922,MAR08546,R04552
923,MAR08549,R05207
924,MAR08552,R05055
925,MAR00223,R01274
926,MAR00250,R08174
927,MAR00284,R08175
928,MAR00294,R08186
929,MAR00314,R08184
930,MAR00320,R08187
931,MAR00332,R08185
932,MAR00338,R08188
933,MAR00350,R08178
934,MAR00362,R08179
935,MAR00366,R08189
936,MAR00378,R08180
937,MAR00382,R08192
938,MAR00398,R08177
939,MAR00402,R08181
940,MAR00406,R08182
941,MAR00410,R08183
942,MAR00414,R08191
943,MAR00430,R08190
944,MAR00434,R08273
945,MAR03477,R00521
946,MAR02591,R02396
947,MAR02599,R01923
948,MAR02626,R01923
949,MAR02636,R01923
950,MAR02742,R01923
951,MAR02755,R01923
952,MAR03032,R03779
953,MAR00163,R03779
954,MAR02593,R02396
955,MAR02601,R01923
956,MAR02630,R01923
957,MAR02640,R01923
958,MAR02758,R01923
959,MAR00002,R02250
960,MAR00003,R02687
961,MAR00005,R01351
962,MAR00449,R00848
963,MAR00449,R00849
964,MAR00604,R02240
965,MAR00605,R02251
966,MAR00665,R02250
967,MAR00667,R02687
968,MAR00668,R02687
969,MAR00669,R02687
970,MAR00670,R02687
971,MAR00671,R02687
972,MAR00672,R02687
973,MAR00679,R01351
974,MAR00680,R01351
975,MAR00681,R01351
976,MAR00682,R01351
977,MAR00683,R01351
978,MAR00684,R01351
979,MAR07588,R01013
980,MAR03480,R03631
981,MAR03116,R07760
982,MAR03121,R01279
983,MAR03122,R04738
984,MAR03123,R04737
985,MAR03125,R03991
986,MAR03128,R03990
987,MAR03129,R04740
988,MAR03130,R04739
989,MAR03132,R03858
990,MAR03135,R03857
991,MAR03136,R04170
992,MAR03137,R04741
993,MAR03139,R04742
994,MAR03142,R04754
995,MAR03143,R04744
996,MAR03144,R04743
997,MAR03146,R03778
998,MAR03149,R03777
999,MAR03150,R04746
1000,MAR03151,R04745
1001,MAR03153,R04747
1002,MAR03156,R04751
1003,MAR03157,R04749
1004,MAR03158,R04748
1005,MAR03160,R01177
1006,MAR03205,R00927
1007,MAR03272,R04100
1008,MAR03239,R04100
1009,MAR03288,R04756
1010,MAR01573,R01978
1011,MAR06901,R09249
1012,MAR06903,R07273
1013,MAR07166,R09844
1014,MAR07167,R09845
1015,MAR07168,R04496
1016,MAR07169,R09847
1017,MAR07170,R09562
1018,MAR09722,R03816
1019,MAR01920,R08941
1020,MAR01927,R02723
1021,MAR01928,R04855
1022,MAR01929,R03933
1023,MAR01932,R01454
1024,MAR01933,R04853
1025,MAR01934,R04676
1026,MAR01935,R04854
1027,MAR01940,R03784
1028,MAR01941,R04163
1029,MAR01942,R03851
1030,MAR01943,R08943
1031,MAR01948,R04675
1032,MAR01949,R04849
1033,MAR01950,R04850
1034,MAR01951,R02840
1035,MAR01989,R03329
1036,MAR01990,R02838
1037,MAR01991,R04852
1038,MAR01992,R03849
1039,MAR01993,R02218
1040,MAR02002,R02208
1041,MAR02003,R08957
1042,MAR06793,R03539
1043,MAR06794,R03973
1044,MAR06795,R03208
1045,MAR07930,R02216
1046,MAR07973,R03327
1047,MAR07976,R02209
1048,MAR01952,R08978
1049,MAR01953,R08942
1050,MAR01958,R08516
1051,MAR01967,R09957
1052,MAR01969,R03405
1053,MAR01973,R01838
1054,MAR01976,R02497
1055,MAR01978,R04344
1056,MAR01982,R03327
1057,MAR02014,R10242
1058,MAR02016,R02476
1059,MAR02018,R02477
1060,MAR01440,R02082
1061,MAR01445,R02245
1062,MAR01448,R03245
1063,MAR01454,R01123
1064,MAR01465,R00702
1065,MAR01467,R02872
1066,MAR01470,R02874
1067,MAR01473,R03199
1068,MAR01479,R05640
1069,MAR01484,R05639
1070,MAR01490,R07509
1071,MAR01495,R07494
1072,MAR01500,R07495
1073,MAR01512,R04804
1074,MAR01516,R04667
1075,MAR01519,R03724
1076,MAR01526,R01457
1077,MAR01533,R05703
1078,MAR01557,R07215
1079,MAR01558,R07215
1080,MAR01565,R01456
1081,MAR01535,R03689
1082,MAR01540,R07499
1083,MAR01553,R03353
1084,MAR01437,R01978
1085,MAR01451,R01121
1086,MAR01457,R01658
1087,MAR01460,R02003
1088,MAR01570,R07498
1089,MAR01576,R01357
1090,MAR01577,R01360
1091,MAR02032,R04759
1092,MAR02034,R02351
1093,MAR02036,R02353
1094,MAR02037,R02350
1095,MAR02038,R03980
1096,MAR02042,R03090
1097,MAR02044,R04764
1098,MAR02045,R04764
1099,MAR02053,R02356
1100,MAR02055,R02355
1101,MAR02058,R04762
1102,MAR00715,R06526
1103,MAR00716,R06528
1104,MAR00736,R08969
1105,MAR00738,R01281
1106,MAR00741,R02978
1107,MAR00744,R02976
1108,MAR00746,R06520
1109,MAR00748,R02464
1110,MAR00753,R06518
1111,MAR00758,R01496
1112,MAR00760,R01495
1113,MAR00761,R01497
1114,MAR00762,R01498
1115,MAR00767,R06522
1116,MAR00773,R01926
1117,MAR00775,R06521
1118,MAR00779,R06516
1119,MAR00781,R02463
1120,MAR00783,R06521
1121,MAR00795,R02541
1122,MAR00453,R01041
1123,MAR00456,R01752
1124,MAR00458,R01041
1125,MAR00459,R01752
1126,MAR00588,R02241
1127,MAR00596,R02239
1128,MAR00673,R02757
1129,MAR00674,R02757
1130,MAR00675,R02757
1131,MAR00676,R02757
1132,MAR00677,R02757
1133,MAR00678,R02757
1134,MAR04296,R00748
1135,MAR04390,R01010
1136,MAR07599,R06364
1137,MAR00448,R00847
1138,MAR00450,R00847
1139,MAR00479,R00842
1140,MAR00479,R00844
1141,MAR00484,R00855
1142,MAR00579,R00851
1143,MAR00580,R02241
1144,MAR00586,R02030
1145,MAR00589,R02241
1146,MAR00590,R02241
1147,MAR00591,R02241
1148,MAR00592,R02241
1149,MAR00593,R02241
